BSC1st Year 2021-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Detail,,,,,Physics,,,,Mathematics,,,Chemistry,,,,Computer Science,,,,Psychology,,,Defence Studies,,,Statistics,,,Anthropology,,,Biochemistry,,,,Botany,,,,Zoology,,,,Geography,,,Geology,,,
RollNo,EnrolNo,Part1Total,GrandTotal,Result,Mechanics and Special Theory of Relativity S.T.R,Thermal Phyics,Electronics,Practicals,Geometry ,Real Analysis,Ordinary Differential Equations O.D.E.,Inorganic Chemistry,Organic Chemistry,Phyical Chemistry,Practicals,Digital Electronics,Computer Fundamentals,C Programming,Practicals,Basic Psychology Behaviour,Psychological Statistics,Practicals,THE ART OF WAR IN INDIA (UPTO 1947),STUDY OF WAR AND PEACE (since 1945),Practicals,Probability Theory ,Statistical Methods,Practicals,Biological Anthropology,Socio-Cultural Anthropology,Archaeological Anthropology,Cell Biology and the physico- chemical basis of life,Chemistry of biomolecules,Tools and techniques in Biochemistry,Practicals,"FUNGI, LICHENS, BACTERIA & VIRUSES",ALGAE AND BRYOPHYTA,PTERIDOPHYTAAND GYMNOSPERMOPYHYTA,Practicals,"PROTOZOA, PORIFERA, COELENTERATA","PLATYHELMINTHES, ASCHELMINTHES AND ANNELIDA","ARTHROPODA, HEMICHORDATA",Practicals,Physical Geography,Human Geography,Practicals,General Geology,Structual Geology,Crystallography and Mineralogy,Practicals
2202001,U2112626,214,214,Elig/SE,18,18,20,25,AA,AA,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,21,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202002,U2112395,132,132,Failed,12,6,8,28,5,02,03,14,12,4,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202003,U2112367,200,200,Passed,15,11,14,35,19,21,17,10,10,11,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202004,U2112016,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202005,U2112649,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202006,U2112460,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202007,U2112184,0,0,Failed,AA,AA,AA,AA,0,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202008,U2112482,10,10,Failed,1,0,7,AA,0,2,0,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202009,U2112440,195,195,Elig/SE,18,4,19,29,04,05,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,39,--,--,--,--
2202010,U2110207,195,195,Elig/SE,--,--,--,--,--,--,--,15,13,14,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,12,6,11,5,21,17,26,--,--,--,--,--,--,--
2202011,U2112447,176,176,Elig/SE,16,6,17,31,03,10,12,19,15,7,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202012,U2112201,313,313,Passed,29,16,23,34,17,30,46,--,--,--,--,25,27,28,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202013,U2112554,190,190,Elig/SE,15,7,15,30,12,12,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,24,28,--,--,--,--
2202014,U2112041,320,320,Passed,29,17,24,40,33,34,42,26,16,20,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202015,U2112213,301,301,Passed,28,21,20,40,24,17,35,30,23,21,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202016,U2112464,235,235,Passed,23,18,16,30,10,15,31,25,12,15,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202017,U2110086,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202018,U2112362,278,278,Passed,26,14,22,34,25,17,30,--,--,--,--,--,--,--,--,--,--,--,35,39,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202019,U2110290,260,260,Passed,--,--,--,--,--,--,--,28,25,13,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,12,16,23,18,19,14,38,--,--,--,--,--,--,--
2202020,U2112705,233,233,Passed,17,8,18,29,23,17,25,26,3,27,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202021,U2112514,141,141,Failed,--,--,--,--,07,08,15,--,--,--,--,15,16,10,AA,25,28,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202022,U2112467,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202023,U2112023,287,287,Passed,25,17,20,33,28,31,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,24,36,--,--,--,--
2202024,U2112172,223,223,Passed,--,--,--,--,25,9,31,--,--,--,--,13,22,13,34,25,29,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202025,U2112380,299,299,Passed,24,17,27,34,17,28,36,30,21,22,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202026,U2112628,188,188,Elig/SE,19,7,12,35,10,10,16,23,11,8,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202027,U2112640,185,185,Failed,10,6,15,31,11,11,16,31,10,5,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202028,U2112381,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202029,U2112304,346,346,Passed,27,27,27,40,36,38,43,26,21,23,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202030,U2112257,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA
2202031,U2112582,304,304,Passed,24,11,24,32,30,26,38,29,23,26,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202032,U2112671,242,242,Passed,17,15,16,27,19,20,22,29,20,16,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202033,U2112188,286,286,Passed,--,--,--,--,34,33,26,--,--,--,--,20,19,18,34,35,37,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202034,U2112203,251,251,Passed,21,15,15,34,19,14,30,--,--,--,--,--,--,--,--,--,--,--,33,37,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202035,U2112300,301,301,Passed,26,17,21,35,32,17,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,25,24,41
2202036,U2112291,188,188,Elig/SE,21,13,9,32,06,12,14,24,9,11,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202037,U2110248,259,259,Passed,--,--,--,--,--,--,--,26,24,18,43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,12,10,12,17,26,18,32,--,--,--,--,--,--,--
2202038,U2112436,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202039,U2112536,272,272,Passed,27,7,24,36,25,27,21,28,22,16,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202040,U2112388,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202041,U2112229,173,173,Failed,18,1,11,33,11,04,10,26,11,11,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202042,U2112265,314,314,Passed,27,11,23,38,39,40,28,--,--,--,--,26,20,27,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202043,U2110330,198,198,Elig/SE,--,--,--,--,--,--,--,14,12,11,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,13,12,11,8,19,13,29,--,--,--,--,--,--,--
2202044,U2110247,AA,AA,Absent,--,--,--,--,--,--,--,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--
2202045,U2112137,297,297,Passed,29,17,22,36,31,18,28,31,25,19,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202046,U2112085,131,131,Failed,18,6,22,AA,08,06,18,--,--,--,--,21,17,15,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202047,U2110060,234,234,Passed,--,--,--,--,--,--,--,24,17,4,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,13,13,25,12,17,18,29,--,--,--,--,--,--,--
2202048,U2112099,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202049,U2112242,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202050,U2112710,25,25,Failed,4,0,12,AA,0,5,1,AA,3,0,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202051,U2112487,AA,AA,Absent,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202052,U2112221,205,205,Elig/SE,21,6,20,33,02,13,21,19,19,11,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2202053,U2112218,233,233,Passed,15,6,20,34,25,21,20,14,19,21,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
